Triangle 215: (0.70, 0.00, 0.70), (0.70, 0.33, 0.70), (0.66, 0.00, 0.74)
Triangle 216: (0.70, 1.00, 0.70), (0.66, 1.00, 0.74), (0.66, 0.67, 0.74)
Triangle 217: (0.88, 0.00, 0.45), (0.86, 0.00, 0.49), (0.86, -0.33, 0.49)
Triangle 218: (0.88, 0.00, 0.45), (0.88, 0.33, 0.45), (0.86, 0.00, 0.49)
Triangle 219: (0.88, 1.00, 0.45), (0.86, 1.00, 0.49), (0.86, 0.67, 0.49)
Triangle 220: (0.98, 0.00, 0.15), (0.97, 0.00, 0.21), (0.97, -0.33, 0.21)
Triangle 221: (0.98, 0.00, 0.15), (0.98, 0.33, 0.15), (0.97, 0.00, 0.21)
Triangle 222: (0.98, 1.00, 0.15), (0.97, 1.00, 0.21), (0.97, 0.67, 0.21)
Triangle 223: (0.98, 0.00, -0.15), (0.98, 0.00, -0.10), (0.98, -0.33, -0.10)
Triangle 224: (0.98, 0.00, -0.15), (0.98, 0.33, -0.15), (0.98, 0.00, -0.10)
Triangle 225: (0.98, 1.00, -0.15), (0.98, 1.00, -0.10), (0.98, 0.67, -0.10)
Triangle 226: (0.88, 0.00, -0.45), (0.90, 0.00, -0.40), (0.90, -0.33, -0.40)
Triangle 227: (0.88, 0.00, -0.45), (0.88, 0.33, -0.45), (0.90, 0.00, -0.40)
Triangle 228: (0.88, 1.00, -0.45), (0.90, 1.00, -0.40), (0.90, 0.67, -0.40)
Triangle 229: (0.70, 0.00, -0.70), (0.74, 0.00, -0.66), (0.74, -0.33, -0.66)
Triangle 230: (0.70, 0.00, -0.70), (0.70, 0.33, -0.70), (0.74, 0.00, -0.66)
Triangle 231: (0.70, 1.00, -0.70), (0.74, 1.00, -0.66), (0.74, 0.67, -0.66)
Triangle 232: (0.45, 0.00, -0.88), (0.49, 0.00, -0.86), (0.49, -0.33, -0.86)
Triangle 233: (0.45, 0.00, -0.88), (0.45, 0.33, -0.88), (0.49, 0.00, -0.86)
Triangle 234: (0.45, 1.00, -0.88), (0.49, 1.00, -0.86), (0.49, 0.67, -0.86)
Triangle 235: (0.15, 0.00, -0.98), (0.21, 0.00, -0.97), (0.21, -0.33, -0.97)
Triangle 236: (0.15, 0.00, -0.98), (0.15, 0.33, -0.98), (0.21, 0.00, -0.97)
Triangle 237: (0.15, 1.00, -0.98), (0.21, 1.00, -0.97), (0.21, 0.67, -0.97)
Triangle 238: (0.25, -1.00, -0.18), (-0.05, -1.00, -0.28), (0.06, -1.00, -0.44)
Triangle 239: (0.25, -1.00, -0.18), (0.13, -1.00, -0.02), (-0.05, -1.00, -0.28)
Triangle 240: (-0.10, -1.00, 0.29), (-0.40, -1.00, 0.20), (-0.28, -1.00, 0.04)
Triangle 241: (-0.31, 0.00, -0.95), (-0.26, -0.33, -0.96), (-0.31, -0.33, -0.95)
Triangle 242: (-0.31, 0.00, -0.95), (-0.26, 0.00, -0.96), (-0.26, -0.33, -0.96)
Triangle 243: (-0.15, 0.00, -0.98), (-0.10, -0.33, -0.98), (-0.15, -0.33, -0.98)
Triangle 244: (-0.59, 0.00, -0.81), (-0.54, -0.33, -0.83), (-0.59, -0.33, -0.81)
Triangle 245: (-0.59, 0.00, -0.81), (-0.54, 0.00, -0.83), (-0.54, -0.33, -0.83)
Triangle 246: (-0.45, 0.00, -0.88), (-0.40, -0.33, -0.90), (-0.45, -0.33, -0.88)
Triangle 247: (-0.18, 1.00, -0.25), (0.14, 1.00, -0.25), (0.07, 1.00, -0.44)
Triangle 248: (-0.18, 1.00, -0.25), (-0.12, 1.00, -0.06), (0.14, 1.00, -0.25)
Triangle 249: (0.00, 1.00, 0.31), (0.32, 1.00, 0.31), (0.26, 1.00, 0.12)
Triangle 250: (-0.81, 0.00, -0.59), (-0.77, -0.33, -0.62), (-0.81, -0.33, -0.59)
Triangle 251: (-0.81, 0.00, -0.59), (-0.77, 0.00, -0.62), (-0.77, -0.33, -0.62)
Triangle 252: (-0.70, 0.00, -0.70), (-0.66, -0.33, -0.74), (-0.70, -0.33, -0.70)
Triangle 253: (-0.95, 0.00, -0.31), (-0.93, -0.33, -0.36), (-0.95, -0.33, -0.31)
Triangle 254: (-0.95, 0.00, -0.31), (-0.93, 0.00, -0.36), (-0.93, -0.33, -0.36)
Triangle 255: (-0.88, 0.00, -0.45), (-0.86, -0.33, -0.49), (-0.88, -0.33, -0.45)
